IP,jsonH1,jsonH2,getH1,getH2,postH1,postH2,hostname,ESNIsupport,TLS13support
45.90.30.174,True,True,True,True,True,True,dns2.nextdns.io,False,True
45.90.30.123,True,True,True,True,True,True,dns2.nextdns.io,False,True
45.90.30.147,True,True,True,True,True,True,dns2.nextdns.io,False,True
75.2.80.144,False,False,True,True,True,True,a0fdb0990f3f010eb.awsglobalaccelerator.com,False,False
45.90.28.242,True,True,True,True,True,True,dns1.nextdns.io,False,True
45.90.28.38,True,True,True,True,True,True,dns1.nextdns.io,False,True
176.58.92.236,False,False,True,True,True,True,dns1-lhr.securd.com,False,False
45.90.29.211,True,True,True,True,True,True,45.90.29.211,False,False
45.90.29.14,True,True,True,True,True,True,45.90.29.14,False,False
217.160.249.29,False,False,True,True,True,True,217.160.249.29,False,False
89.233.43.71,False,False,True,True,True,True,unicast.censurfridns.dk,False,True
80.124.140.238,False,False,True,True,True,True,next.sfr.fr.casepp.sfr.fr,False,False
213.61.254.42,False,False,True,True,True,True,213.61.254.42,False,False
213.183.62.11,True,True,True,True,True,True,dns.nextdns.io,False,True
80.125.181.13,False,False,True,True,True,True,ppr3-cae.sdp.sfr.fr.casepp.sfr.fr,False,False
45.90.29.148,True,True,True,True,True,True,45.90.29.148,False,False
140.238.174.12,False,False,True,True,True,True,140.238.174.12,False,False
149.112.112.12,False,False,True,True,True,True,149.112.112.12,False,True
45.90.29.129,True,True,True,True,True,True,45.90.29.129,False,False
46.101.66.244,False,False,True,False,True,False,46.101.66.244,False,False
45.90.29.44,True,True,True,True,True,True,45.90.29.44,False,False
45.90.30.81,True,True,True,True,True,True,dns2.nextdns.io,False,True
185.88.160.25,False,False,False,True,False,True,rns.im.spb.ru,False,True
194.39.205.162,False,False,True,True,True,True,de.dnsguard.eu,False,True
45.90.28.62,True,True,True,True,True,True,dns1.nextdns.io,False,True
64.64.248.141,False,False,True,False,True,False,64.64.248.141.16clouds.com,False,False
80.125.181.123,False,False,True,True,True,True,www.sfr.fr.backup.casepp.sfr.fr,False,False
54.72.41.135,False,False,False,True,False,False,ec2-54-72-41-135.eu-west-1.compute.amazonaws.com,False,False
81.7.14.215,False,False,True,True,True,True,s81-7-14-215.blue.kundencontroller.de,False,False
217.146.11.49,True,True,True,True,True,True,217.146.11.49,False,False
45.90.30.146,True,True,True,True,True,True,dns2.nextdns.io,False,True
149.112.121.20,False,False,True,True,False,True,protected.canadianshield.cira.ca,False,True
51.79.173.140,False,False,True,True,True,True,dns.futa.gg,False,False
128.139.197.53,False,False,True,False,True,False,spdns.iucc.ac.il,False,False
86.109.1.91,False,False,False,False,True,True,odoh-proxy,False,False
170.176.145.150,True,False,True,False,True,False,170.176.145.150,False,False
78.142.193.36,True,True,True,True,True,True,dns.nextdns.io,False,True
37.252.239.39,True,True,True,True,True,True,dns.nextdns.io,False,True
45.90.28.115,True,True,True,True,True,True,dns1.nextdns.io,False,True
217.66.37.27,False,False,True,True,True,True,217.66.37.27,False,False
45.90.29.248,True,True,True,True,True,True,45.90.29.248,False,False
82.118.227.235,False,False,True,True,True,True,82.118.227.235,False,False
72.11.134.91,False,False,True,True,True,True,72.11.134.91.static.quadranet.com,False,False
47.103.18.1,False,False,True,True,True,True,47.103.18.1,False,False
47.100.218.41,False,False,True,True,True,True,47.100.218.41,False,False
149.112.149.112,False,False,True,True,True,True,rpz-public-resolver2.rrdns.pch.net,False,False
14.192.49.53,False,False,True,False,True,False,14.192.49.53,False,False
45.90.28.8,True,True,True,True,True,True,dns1.nextdns.io,False,True
173.199.126.35,False,False,True,True,True,True,hydra.plan9-ns1.com,False,True
45.90.30.57,True,True,True,True,True,True,dns2.nextdns.io,False,True
45.90.29.229,True,True,True,True,True,True,45.90.29.229,False,False
82.165.97.135,False,False,True,True,True,True,smtp.mousepanic.de,False,False
194.62.167.148,True,True,True,True,True,True,dns.nextdns.io,False,True
213.61.254.44,False,False,True,True,True,True,213.61.254.44,False,False
45.90.28.5,True,True,True,True,True,True,dns1.nextdns.io,False,True
223.5.5.109,False,False,True,True,True,True,223.5.5.109,False,False
5.39.88.20,False,False,True,True,True,True,yarp.lefolgoc.net,False,True
45.90.29.120,True,True,True,True,True,True,45.90.29.120,False,False
175.24.154.191,False,False,False,True,False,False,175.24.154.191,False,False
80.125.181.124,False,False,True,True,True,True,*.s-sfr.fr.backup.casepp.sfr.fr,False,False
45.90.30.162,True,True,True,True,True,True,dns2.nextdns.io,False,True
45.90.28.236,True,True,True,True,True,True,dns1.nextdns.io,False,True
80.251.225.218,False,False,True,True,True,True,80.251.225.218.teleru.net,False,False
109.24.72.14,False,False,True,True,True,True,test-int-admin-ctc.funinfo.sfr.fr.casepp.sfr.fr,False,False
49.229.0.115,False,False,True,True,True,True,49.229.0.115,False,False
45.90.28.230,True,True,True,True,True,True,dns1.nextdns.io,False,True
193.190.182.53,False,False,True,True,True,True,dns-doh-2.belnet.be,False,False
1.192.192.206,False,False,True,True,True,True,1.192.192.206,False,False
45.90.30.83,True,True,True,True,True,True,dns2.nextdns.io,False,True
157.245.36.211,False,False,True,True,True,True,157.245.36.211,False,False
176.58.90.11,False,False,True,True,True,True,dns2-cdg.securd.com,False,False
80.124.140.240,False,False,True,True,True,True,80.124.140.240,False,False
